classifier_label,Raw Data,PCA,LDA,PCA (>90%) +LDA,PCA (>95%) +LDA,PCA (>99%) +LDA
The minimum Mahalanobis distance classifier,0.9666666666666667,0.9916666666666667,0.975,0.975,0.9833333333333333,0.9833333333333333
linear classifier,0.9416666666666667,0.9916666666666667,0.9583333333333334,0.9833333333333333,0.9916666666666667,0.9666666666666667
KNN-1,0.9416666666666667,0.9416666666666667,0.9666666666666667,0.9833333333333333,0.9916666666666667,0.9833333333333333
KNN-5,0.8166666666666667,0.8416666666666667,0.9833333333333333,0.9833333333333333,0.9916666666666667,0.9833333333333333
Random Forest,0.95,0.9583333333333334,0.9666666666666667,0.975,0.975,0.9166666666666666
