dataset,reducer,classifier,dim,accuracy,error_rate,pca_dim,pca_variance,n_train,n_test,random_state,test_size,method_label,classifier_label
olivetti_faces,pca90_lda,rf,1,0.15833333333333333,0.8416666666666667,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,Random Forest
olivetti_faces,pca90_lda,rf,2,0.5333333333333333,0.4666666666666667,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,Random Forest
olivetti_faces,pca90_lda,rf,3,0.7583333333333333,0.2416666666666667,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,Random Forest
olivetti_faces,pca90_lda,rf,4,0.8,0.19999999999999996,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,Random Forest
olivetti_faces,pca90_lda,rf,5,0.875,0.125,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,Random Forest
olivetti_faces,pca90_lda,rf,6,0.8833333333333333,0.1166666666666667,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,Random Forest
olivetti_faces,pca90_lda,rf,7,0.8916666666666667,0.10833333333333328,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,Random Forest
olivetti_faces,pca90_lda,rf,8,0.9416666666666667,0.05833333333333335,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,Random Forest
olivetti_faces,pca90_lda,rf,9,0.9166666666666666,0.08333333333333337,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,Random Forest
olivetti_faces,pca90_lda,rf,10,0.9166666666666666,0.08333333333333337,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,Random Forest
olivetti_faces,pca90_lda,rf,15,0.9416666666666667,0.05833333333333335,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,Random Forest
olivetti_faces,pca90_lda,rf,20,0.9583333333333334,0.04166666666666663,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,Random Forest
olivetti_faces,pca90_lda,rf,25,0.9666666666666667,0.033333333333333326,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,Random Forest
olivetti_faces,pca90_lda,rf,30,0.9666666666666667,0.033333333333333326,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,Random Forest
olivetti_faces,pca90_lda,rf,35,0.975,0.025000000000000022,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,Random Forest
olivetti_faces,pca90_lda,rf,39,0.9666666666666667,0.033333333333333326,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,Random Forest
