classifier_label,Raw Data,PCA,LDA,PCA (>90%) +LDA,PCA (>95%) +LDA,PCA (>99%) +LDA
The minimum Mahalanobis distance classifier,0.8476666666666667,0.8523333333333334,0.8415,0.8516666666666667,0.8506666666666667,0.846
linear classifier,0.8873333333333333,0.9083333333333333,0.8581666666666666,0.8701666666666666,0.8713333333333333,0.8628333333333333
KNN-1,0.9183333333333333,0.9396666666666667,0.8745,0.8915,0.886,0.8803333333333333
KNN-5,0.9206666666666666,0.9425,0.8881666666666667,0.9068333333333334,0.9036666666666666,0.8941666666666667
Random Forest,0.9556666666666667,0.9315,0.8851666666666667,0.9016666666666666,0.8988333333333334,0.8886666666666667
