dataset,reducer,classifier,dim,accuracy,error_rate,pca_dim,pca_variance,n_train,n_test,random_state,test_size,method_label,classifier_label
olivetti_faces,pca90_lda,knn,1,0.15833333333333333,0.8416666666666667,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,KNN-1
olivetti_faces,pca90_lda,knn,2,0.55,0.44999999999999996,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,KNN-1
olivetti_faces,pca90_lda,knn,3,0.7833333333333333,0.21666666666666667,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,KNN-1
olivetti_faces,pca90_lda,knn,4,0.8416666666666667,0.15833333333333333,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,KNN-1
olivetti_faces,pca90_lda,knn,5,0.8833333333333333,0.1166666666666667,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,KNN-1
olivetti_faces,pca90_lda,knn,6,0.9333333333333333,0.06666666666666665,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,KNN-1
olivetti_faces,pca90_lda,knn,7,0.9416666666666667,0.05833333333333335,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,KNN-1
olivetti_faces,pca90_lda,knn,8,0.975,0.025000000000000022,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,KNN-1
olivetti_faces,pca90_lda,knn,9,0.975,0.025000000000000022,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,KNN-1
olivetti_faces,pca90_lda,knn,10,0.9833333333333333,0.01666666666666672,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,KNN-1
olivetti_faces,pca90_lda,knn,15,0.9833333333333333,0.01666666666666672,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,KNN-1
olivetti_faces,pca90_lda,knn,20,0.975,0.025000000000000022,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,KNN-1
olivetti_faces,pca90_lda,knn,25,0.975,0.025000000000000022,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,KNN-1
olivetti_faces,pca90_lda,knn,30,0.9833333333333333,0.01666666666666672,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,KNN-1
olivetti_faces,pca90_lda,knn,35,0.9833333333333333,0.01666666666666672,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,KNN-1
olivetti_faces,pca90_lda,knn,39,0.9833333333333333,0.01666666666666672,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,KNN-1
