dataset,reducer,classifier,dim,accuracy,error_rate,pca_dim,pca_variance,n_train,n_test,random_state,test_size,method_label,classifier_label
olivetti_faces,pca99_lda,knn,1,0.16666666666666666,0.8333333333333334,199,0.99,280,120,0,0.3,PCA (>99%) +LDA,KNN-1
olivetti_faces,pca99_lda,knn,2,0.45,0.55,199,0.99,280,120,0,0.3,PCA (>99%) +LDA,KNN-1
olivetti_faces,pca99_lda,knn,3,0.6,0.4,199,0.99,280,120,0,0.3,PCA (>99%) +LDA,KNN-1
olivetti_faces,pca99_lda,knn,4,0.7583333333333333,0.2416666666666667,199,0.99,280,120,0,0.3,PCA (>99%) +LDA,KNN-1
olivetti_faces,pca99_lda,knn,5,0.8,0.19999999999999996,199,0.99,280,120,0,0.3,PCA (>99%) +LDA,KNN-1
olivetti_faces,pca99_lda,knn,6,0.8333333333333334,0.16666666666666663,199,0.99,280,120,0,0.3,PCA (>99%) +LDA,KNN-1
olivetti_faces,pca99_lda,knn,7,0.8833333333333333,0.1166666666666667,199,0.99,280,120,0,0.3,PCA (>99%) +LDA,KNN-1
olivetti_faces,pca99_lda,knn,8,0.8916666666666667,0.10833333333333328,199,0.99,280,120,0,0.3,PCA (>99%) +LDA,KNN-1
olivetti_faces,pca99_lda,knn,9,0.9166666666666666,0.08333333333333337,199,0.99,280,120,0,0.3,PCA (>99%) +LDA,KNN-1
olivetti_faces,pca99_lda,knn,10,0.9166666666666666,0.08333333333333337,199,0.99,280,120,0,0.3,PCA (>99%) +LDA,KNN-1
olivetti_faces,pca99_lda,knn,15,0.9416666666666667,0.05833333333333335,199,0.99,280,120,0,0.3,PCA (>99%) +LDA,KNN-1
olivetti_faces,pca99_lda,knn,20,0.975,0.025000000000000022,199,0.99,280,120,0,0.3,PCA (>99%) +LDA,KNN-1
olivetti_faces,pca99_lda,knn,25,0.975,0.025000000000000022,199,0.99,280,120,0,0.3,PCA (>99%) +LDA,KNN-1
olivetti_faces,pca99_lda,knn,30,0.9833333333333333,0.01666666666666672,199,0.99,280,120,0,0.3,PCA (>99%) +LDA,KNN-1
olivetti_faces,pca99_lda,knn,35,0.9833333333333333,0.01666666666666672,199,0.99,280,120,0,0.3,PCA (>99%) +LDA,KNN-1
olivetti_faces,pca99_lda,knn,39,0.9833333333333333,0.01666666666666672,199,0.99,280,120,0,0.3,PCA (>99%) +LDA,KNN-1
