dataset,reducer,classifier,dim,accuracy,error_rate,pca_dim,pca_variance,n_train,n_test,random_state,test_size,method_label,classifier_label
olivetti_faces,pca90_lda,mahalanobis,1,0.20833333333333334,0.7916666666666666,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,The minimum Mahalanobis distance classifier
olivetti_faces,pca90_lda,mahalanobis,2,0.5666666666666667,0.43333333333333335,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,The minimum Mahalanobis distance classifier
olivetti_faces,pca90_lda,mahalanobis,3,0.7416666666666667,0.2583333333333333,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,The minimum Mahalanobis distance classifier
olivetti_faces,pca90_lda,mahalanobis,4,0.8416666666666667,0.15833333333333333,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,The minimum Mahalanobis distance classifier
olivetti_faces,pca90_lda,mahalanobis,5,0.9083333333333333,0.09166666666666667,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,The minimum Mahalanobis distance classifier
olivetti_faces,pca90_lda,mahalanobis,6,0.9,0.09999999999999998,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,The minimum Mahalanobis distance classifier
olivetti_faces,pca90_lda,mahalanobis,7,0.9083333333333333,0.09166666666666667,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,The minimum Mahalanobis distance classifier
olivetti_faces,pca90_lda,mahalanobis,8,0.9333333333333333,0.06666666666666665,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,The minimum Mahalanobis distance classifier
olivetti_faces,pca90_lda,mahalanobis,9,0.9583333333333334,0.04166666666666663,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,The minimum Mahalanobis distance classifier
olivetti_faces,pca90_lda,mahalanobis,10,0.9333333333333333,0.06666666666666665,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,The minimum Mahalanobis distance classifier
olivetti_faces,pca90_lda,mahalanobis,15,0.9666666666666667,0.033333333333333326,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,The minimum Mahalanobis distance classifier
olivetti_faces,pca90_lda,mahalanobis,20,0.975,0.025000000000000022,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,The minimum Mahalanobis distance classifier
olivetti_faces,pca90_lda,mahalanobis,25,0.9583333333333334,0.04166666666666663,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,The minimum Mahalanobis distance classifier
olivetti_faces,pca90_lda,mahalanobis,30,0.9666666666666667,0.033333333333333326,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,The minimum Mahalanobis distance classifier
olivetti_faces,pca90_lda,mahalanobis,35,0.9666666666666667,0.033333333333333326,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,The minimum Mahalanobis distance classifier
olivetti_faces,pca90_lda,mahalanobis,39,0.9583333333333334,0.04166666666666663,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,The minimum Mahalanobis distance classifier
